question,answer,source_page
What is the index of a subgroup H in a group G?,"The index of H in G, denoted [G : H], is the number of distinct left cosets (or equivalently, right cosets) of H in G. This value is the same whether counting left or right cosets. The index plays a key role in Lagrange's theorem, which states that for finite groups, |H| · [G : H] = |G|.",Coset
What is the relationship between an element belonging to a coset and the coset itself?,"If an element x belongs to the coset gH, then gH = xH. This is because if x ∈ gH, there exists some a ∈ H such that ga = x, and thus xH = (ga)H = g(aH) = gH (since aH = H by the bijection property of left multiplication in a group). This property ensures that cosets are either identical or disjoint.",Coset
"In an abelian group, what is the relationship between left and right cosets?","In an abelian group G, every left coset equals the corresponding right coset: g + H = H + g for every subgroup H and every element g ∈ G. This is a special property of abelian groups. For non-abelian groups, left and right cosets may differ, though there is a connection via conjugate subgroups: Hg = g(g⁻¹Hg).",Coset
What is the definition of a normal subgroup in terms of cosets?,"A subgroup N of a group G is normal if and only if for all elements g ∈ G, the left and right cosets are equal: gN = Ng. Equivalently, N is normal when every left coset of N is also a right coset. In this case, the cosets of N form a quotient group G/N with the operation (aN)∗(bN) = abN.",Coset
"What is Lagrange's theorem relating the order of a group, the order of a subgroup, and the index?","Lagrange's theorem states that for finite groups G and H (where H is a subgroup of G), the order of G equals the product of the index of H in G and the order of H: |G| = [G:H]|H|. The index [G:H] represents the number of left (or right) cosets of H in G, and each coset has the same cardinality as H.",Coset
"In the context of vector spaces, what are affine subspaces and how do they relate to cosets?","Affine subspaces are sets of the form {x ∈ V | x = a + w, w ∈ W}, where V is a vector space, W is a subspace, and a is a fixed vector in V. These affine subspaces are cosets (both left and right, since vector addition forms an abelian group). Geometrically, in ℝ³, affine subspaces represent lines or planes parallel to a subspace passing through the origin.",Coset
How can the orbits of a group action be interpreted as cosets?,"A subgroup H of a group G defines two natural actions on G: a right action (g, h) → gh and a left action (h, g) → hg. The orbit of an element g under the right action is the left coset gH, while the orbit of g under the left action is the right coset Hg. This provides a connection between group actions and coset structure.",Coset
Who first introduced the concept of a coset and when?,"The concept of a coset was first introduced by Évariste Galois in his work from 1830–31. Although he introduced a notation for the concept, he did not provide a name for it. The term ""co-set"" first appeared in 1910 in a paper by G. A. Miller.",Coset
What property did Galois observe about left and right cosets that led to an important tool in studying polynomial equations?,"Galois observed that a subgroup H of a permutation group G induces two decompositions of G (left and right cosets). When these decompositions coincide—that is, when the left cosets equal the right cosets—the problem could be reduced to working over H instead of G. This property later became the defining characteristic of normal subgroups.",Coset
What is a binary linear code and how does it relate to cosets?,"A binary linear code is an n-dimensional subspace C of an m-dimensional vector space V over GF(2). Since V is an additive abelian group, C is a subgroup of V. The decoding process uses a standard array, which is a coset decomposition of V arranged in tabular form, where each row represents a coset of C.",Coset
"In syndrome decoding, what is a syndrome and why is it useful?","The syndrome of a vector x is the vector xH, where H is a parity check matrix. By linearity, every vector in the same coset has the same syndrome. This property allows efficient decoding by reducing the search to finding the coset leader with the same syndrome as the received word, rather than searching through all vectors.",Coset
What is a double coset in group theory?,"Given two subgroups H and K of a group G, a double coset is a set of the form HgK = {hgk : h ∈ H, k ∈ K} for some g ∈ G. Double cosets generalize the concept of left and right cosets: when H = {1}, we get left cosets of K, and when K = {1}, we get right cosets of H. The set of all double cosets of H and K partitions the group G.",Coset
"In the notation K \ G / H, what does this set represent?","The notation K \ G / H denotes the set of all double cosets {KgH : g ∈ G} of subgroups H and K in group G. This set is sometimes called the double coset space. When H = K, the notation G // H is used for the double coset space H \ G / H.",Coset
What is a cyclic group and what is meant by a generator of the group?,"A cyclic group is a group that is generated by a single element g. This means every element of the group can be obtained by repeatedly applying the group operation to g or its inverse. In multiplicative notation, each element can be written as gⁿ for some integer n, and in additive notation as ng. The element g is called a generator of the group.",Cyclic Group
"What are the two fundamental isomorphism classes of cyclic groups, and how do they differ?","Every infinite cyclic group is isomorphic to (ℤ, +), the additive group of integers. Every finite cyclic group of order n is isomorphic to ℤ/nℤ, the additive group of integers modulo n. The key difference is that infinite cyclic groups have no repetition of elements, while finite cyclic groups of order n have elements that repeat after n applications of the group operation.",Cyclic Group
What is a cyclic group?,"A cyclic group is a group G that is equal to one of its cyclic subgroups, meaning G = ⟨g⟩ for some element g called a generator. In other words, every element of the group can be expressed as an integer power of the generator g. For a finite cyclic group of order n, we have G = {e, g, g², ..., gⁿ⁻¹}, where e is the identity and gⁿ = e.",Cyclic Group
How is the order of an element g in a group G defined?,"The order of an element g is the number of elements in the cyclic subgroup ⟨g⟩ generated by g, denoted |g|, ord(g), or o(g). Equivalently, it is the smallest positive integer k such that gᵏ = e (where e is the identity), or infinity if no such k exists. The order of an element equals the order of the cyclic subgroup it generates.",Cyclic Group
What are the generators of the infinite cyclic group of integers under addition?,"The generators of the infinite cyclic group Z under addition are 1 and −1. Every integer can be written by repeatedly adding or subtracting 1, making these the only two generators. Every infinite cyclic group is isomorphic to Z.",Cyclic Group
For which values of n is the multiplicative group (Z/nZ)* cyclic?,"The multiplicative group (Z/nZ)* is cyclic when n is 1, 2, 4, a power of an odd prime, or twice a power of an odd prime. For example, (Z/6Z)* = {1, 5} is cyclic since 6 = 2·3, but (Z/8Z)* = {1, 3, 5, 7} is not cyclic (it is the Klein 4-group).",Cyclic Group
What is the relationship between the rotational symmetries of a polygon with n rotations and cyclic groups?,The set of rotational symmetries of a polygon with n different rotations (including the null rotation) forms a finite cyclic group isomorphic to Z/nℤ. This means the symmetry group has the same structure as the integers modulo n under addition.,Cyclic Group
"When is a cyclic group simple, and what does this imply about its subgroups?","A cyclic group is simple if and only if its order is prime. When the order is a prime number p, the group ℤ/pℤ has no nontrivial proper subgroups, meaning pℤ is a maximal proper subgroup of ℤ. This occurs because a prime number has no nontrivial divisors.",Cyclic Group
When is the direct product of two cyclic groups Z/nZ and Z/mZ isomorphic to the cyclic group Z/nmZ?,"The direct product Z/nZ × Z/mZ is isomorphic to the cyclic group Z/nmZ if and only if n and m are coprime (i.e., gcd(n,m) = 1). This is one form of the Chinese remainder theorem. For example, Z/12Z ≅ Z/3Z × Z/4Z since gcd(3,4) = 1, but Z/12Z is not isomorphic to Z/6Z × Z/2Z since gcd(6,2) = 2 ≠ 1.",Cyclic Group
What is a Cayley graph of a finite cyclic group with a single generator?,"A Cayley graph of a finite cyclic group with a single generator is a cycle graph. It has a vertex for each group element and an edge for each product of an element with the generator. For an infinite cyclic group with its generator, the Cayley graph is a doubly infinite path graph.",Cyclic Group
What is the automorphism group of the cyclic group ℤ/nℤ?,"The automorphism group of ℤ/nℤ is isomorphic to the unit group (ℤ/nℤ)×. Under the natural isomorphism between the endomorphism ring and ℤ/nℤ, an integer r corresponds to an automorphism if and only if r is coprime with n. These bijective endomorphisms form the automorphism group.",Cyclic Group
What is the tensor product of Z/mZ ⊗ Z/nZ isomorphic to?,"The tensor product Z/mZ ⊗ Z/nZ is isomorphic to Z/gcd(m,n)Z, where gcd(m,n) is the greatest common divisor of m and n. This is a consequence of the general fact that for a commutative ring R with ideals I and J, we have R/I ⊗_R R/J ≅ R/(I+J).",Cyclic Group
What is a virtually cyclic group?,"A virtually cyclic group is a group that contains a cyclic subgroup of finite index, meaning any element can be obtained by multiplying a member of the cyclic subgroup with a member of a certain finite set. Every cyclic group and every finite group is virtually cyclic. An infinite group is virtually cyclic if and only if it is finitely generated and has exactly two ends.",Cyclic Group
What is a metacyclic group?,"A metacyclic group is a group containing a cyclic normal subgroup whose quotient is also cyclic. Examples include cyclic groups, dicyclic groups, and direct products of two cyclic groups. Polycyclic groups generalize this concept by allowing multiple levels of such extensions.",Cyclic Group
Which types of finitely generated groups are guaranteed to be polycyclic?,"Every finitely generated abelian group is polycyclic, and every finitely generated nilpotent group is polycyclic. A group is polycyclic if it has a finite descending sequence of subgroups where each is normal in the previous one with cyclic quotient, ending in the trivial group.",Cyclic Group
Under what condition is the cyclic group Z_n simple?,"The cyclic group Z_n is simple if and only if n is prime. This is because a simple group has no nontrivial normal subgroups, and for cyclic groups, all subgroups are normal. When n is prime, Z_n has no proper nontrivial subgroups.",Cyclic Group
What is the significance of primitive roots in the study of cyclic groups?,Primitive roots are generators of cyclic groups in modular arithmetic contexts. A primitive root modulo n is an element whose powers generate all units in Z_n. The study of primitive roots and indices is fundamental to understanding the structure of cyclic groups in number theory.,Cyclic Group
What is a dihedral group and what symmetries does it include?,"A dihedral group is the group of symmetries of a regular polygon, which includes both rotations and reflections. For a regular polygon with n sides, the dihedral group Dₙ has order 2n, consisting of n rotational symmetries and n reflection symmetries. These groups are among the simplest examples of finite groups and play an important role in group theory, geometry, and chemistry.",Dihedral Group
"How many axes of symmetry does a regular n-gon have, and how do they differ for odd versus even n?","A regular n-gon has n axes of symmetry. If n is odd, each axis connects the midpoint of one side to the opposite vertex. If n is even, there are n/2 axes connecting midpoints of opposite sides and n/2 axes connecting opposite vertices. In all cases, reflecting in one axis followed by reflecting in another produces a rotation through twice the angle between the axes.",Dihedral Group
"In the dihedral group D₃ representing symmetries of an equilateral triangle, why is the composition operation not commutative?","The composition operation in D₃ is not commutative because the order in which symmetries are applied matters. For example, composing two different reflections yields a rotation, but the specific rotation depends on which reflection is applied first. This demonstrates that in general, s_i s_j ≠ s_j s_i in dihedral groups.",Dihedral Group
What are the general composition formulas for elements in the dihedral group Dₙ?,"In Dₙ, the composition formulas are: r_i r_j = r_{i+j}, r_i s_j = s_{i+j}, s_i r_j = s_{i-j}, and s_i s_j = r_{i-j}, where r_i denotes rotations and s_i denotes reflections. All subscript arithmetic is performed modulo n. These formulas completely determine the group structure of Dₙ.",Dihedral Group
What do the matrices rₖ and sₖ represent in the matrix representation of the dihedral group Dₙ?,"In the matrix representation of Dₙ, the matrix rₖ represents a counterclockwise rotation through an angle of 2πk/n. The matrix sₖ represents a reflection across a line that makes an angle of πk/n with the x-axis. Both act as linear transformations on the plane, with group composition corresponding to matrix multiplication.",Dihedral Group
"In the dihedral group D₄ (symmetries of a square), what transformations do the elements s₀ and s₁ represent?","The element s₀ represents reflection across the horizontal axis (given by the matrix with diagonal entries 1 and -1). The element s₁ represents reflection across a diagonal of the square (given by the matrix [0,1; 1,0]). These are two of the four reflective symmetries of the square.",Dihedral Group
"How are elements of the dihedral group D_n represented as matrices, and what operation corresponds to group composition?","Elements of D_n can be represented as 2×2 matrices that act as linear transformations of the plane. Group composition corresponds to matrix multiplication. This matrix representation is a two-dimensional group representation, where the regular polygon is centered at the origin and matrices act on column vectors of coordinates.",Dihedral Group
"What is the general form of the rotation matrix r_k in the dihedral group D_n, and what geometric transformation does it represent?","The rotation matrix r_k has the form r_k = ((cos(2πk/n), -sin(2πk/n)), (sin(2πk/n), cos(2πk/n))). It represents a counterclockwise rotation through an angle of 2πk/n radians around the origin.",Dihedral Group
What are the three equivalent presentations of the dihedral group Dₙ in terms of generators r and s?,"The dihedral group Dₙ has three equivalent presentations: (1) ⟨r, s | ord(r) = n, ord(s) = 2, srs⁻¹ = r⁻¹⟩, (2) ⟨r, s | ord(r) = n, ord(s) = 2, srs = r⁻¹⟩, and (3) ⟨r, s | rⁿ = s² = (sr)² = 1⟩. All three capture the same group structure where r is a rotation of order n and s is a reflection of order 2 that conjugates r to its inverse.",Dihedral Group
In what ways are D₁ and D₂ exceptional compared to other dihedral groups?,"D₁ and D₂ are exceptional in three main ways: (1) they are the only abelian dihedral groups, while Dₙ is non-abelian for n ≥ 3; (2) Dₙ is a subgroup of the symmetric group Sₙ only for n ≥ 3, since 2n > n! when n = 1 or 2; and (3) the inner automorphism group of D₂ is trivial, unlike other even values of n where it is Dₙ/Z₂.",Dihedral Group
"What are the generators of the dihedral group Dₙ, and what is the key relation between them?","The dihedral group Dₙ is generated by a rotation r of order n and a reflection s of order 2. The key relation between them is srs = r⁻¹, which means that in the mirror, a rotation looks like an inverse rotation. These two generators and this relation completely determine the group structure.",Dihedral Group
Why is the dihedral group Dₙ non-abelian for n > 2?,"For n > 2, the operations of rotation and reflection do not commute, making Dₙ non-abelian. For example, in D₄, a rotation of 90 degrees followed by a reflection yields a different result from a reflection followed by a rotation of 90 degrees. This makes dihedral groups simple examples of non-abelian groups and useful counterexamples to abelian-only theorems.",Dihedral Group
"What is the dihedral group Dₙ, and what geometric objects does it describe?",The dihedral group Dₙ is the group of Euclidean plane isometries that keep the origin fixed. It consists of n rotations (multiples of 360°/n) and n reflections (across lines through the origin at angles of multiples of 180°/n). This is the symmetry group of a regular polygon with n sides.,Dihedral Group
What is the key relation between the generators of the dihedral group Dₙ?,"The dihedral group Dₙ is generated by a rotation r of order n and a reflection s of order 2, satisfying the relation srs = r⁻¹. Geometrically, this means that in the mirror, a rotation looks like an inverse rotation. For n > 2, rotation and reflection do not commute, making Dₙ non-abelian.",Dihedral Group
What is the center of the dihedral group D_n for odd n versus even n?,"For odd n ≥ 3, the center of D_n consists only of the identity element. For even n, the center has two elements: the identity and the element r^(n/2), which corresponds to inversion (rotation by 180°). This element commutes with all group elements because it is scalar multiplication by −1 in the O(2) representation.",Dihedral Group
How do the conjugacy classes of reflections in D_n differ depending on whether n is odd or even?,"When n is odd, all reflections in D_n are conjugate to each other, forming a single conjugacy class. When n is even, the reflections fall into two distinct conjugacy classes. Geometrically, for even n, one class consists of reflections through axes passing through opposite vertices, while the other consists of reflections through axes passing through midpoints of opposite sides.",Dihedral Group
What is the order of the automorphism group of the dihedral group Dₙ?,"The automorphism group of Dₙ has order nφ(n), where φ is Euler's totient function. The totient function φ(n) counts the number of integers k in {1, 2, ..., n-1} that are coprime to n. This automorphism group is isomorphic to the holomorph of ℤ/nℤ.",Dihedral Group
How does the parity of n affect the inner automorphism group of Dₙ?,"For n odd, Dₙ is centerless, so every element defines a non-trivial inner automorphism, giving an inner automorphism group of order 2n. For n even (except n = 2), the rotation by 180° is the non-trivial center element, and the inner automorphism group has order n. The distinction arises because the center affects which automorphisms are inner versus outer.",Dihedral Group
What is the inner automorphism group of the dihedral group D_n when n is even?,"When n is even, the inner automorphism group of D_n is isomorphic to D_n / Z_2, where Z_2 denotes the cyclic group of order 2. This quotient captures the automorphisms induced by conjugation within the group. As a special case, when n = 2, we have D_2 / Z_2 ≅ 1, the trivial group.",Dihedral Group
What is the infinite dihedral group and how does it relate to finite dihedral groups?,"The infinite dihedral group is an infinite group with algebraic structure similar to the finite dihedral groups D_n. It can be viewed as the group of symmetries of the integers ℤ, acting by reflections and translations. This generalizes the concept of dihedral symmetry from finite polygons to an infinite discrete set.",Dihedral Group
What is a group homomorphism and what property must it satisfy?,"A group homomorphism from (G, ∗) to (H, ·) is a function h: G → H such that h(u ∗ v) = h(u) · h(v) for all u, v ∈ G. This means the homomorphism preserves the group operation. From this property, it follows that h maps the identity element of G to the identity element of H, and h maps inverses to inverses: h(u⁻¹) = h(u)⁻¹.",Group Homomorphism
"What is the difference between a monomorphism, epimorphism, and isomorphism of groups?",A monomorphism is an injective (one-to-one) group homomorphism that preserves distinctness. An epimorphism is a surjective (onto) group homomorphism that reaches every element in the codomain. An isomorphism is a bijective group homomorphism (both injective and surjective) whose inverse is also a group homomorphism; isomorphic groups differ only in notation and are structurally identical.,Group Homomorphism
"What is the kernel of a group homomorphism h: G → H, and why is it always a normal subgroup of G?","The kernel of h is ker(h) = {u ∈ G : h(u) = eₕ}, the set of elements in G mapped to the identity in H. It is always a normal subgroup because for any u ∈ ker(h) and g ∈ G, we have h(g⁻¹ug) = h(g)⁻¹h(u)h(g) = h(g)⁻¹eₕh(g) = eₕ, so g⁻¹ug ∈ ker(h), satisfying the normality condition.",Group Homomorphism
When is a group homomorphism h: G → H injective (one-to-one)?,"A group homomorphism h is injective if and only if ker(h) = {eɢ}, where eɢ is the identity element of G. If ker(h) = {eɢ}, then h(g₁) = h(g₂) implies h(g₁g₂⁻¹) = eₕ, which means g₁g₂⁻¹ = eɢ, so g₁ = g₂. Conversely, injectivity ensures only the identity is mapped to eₕ.",Group Homomorphism
"Consider the map h: ℤ → ℤ/3ℤ defined by h(u) = u mod 3. Is this a group homomorphism, and if so, what is its kernel?","Yes, h is a group homomorphism from (ℤ, +) to the cyclic group ℤ₃ = ({0, 1, 2}, +). It is surjective. The kernel of h consists of all integers that are divisible by 3, i.e., ker(h) = 3ℤ = {..., -6, -3, 0, 3, 6, ...}.",Group Homomorphism
"What is the kernel of the exponential map viewed as a group homomorphism from (ℂ, +) to (ℂ*, ·)?","The kernel is {2πki : k ∈ ℤ}, the set of all integer multiples of 2πi. This can be understood from Euler's formula: e^(2πki) = 1 for any integer k. The exponential map in this case is surjective, mapping the additive group of complex numbers to the multiplicative group of non-zero complex numbers.",Group Homomorphism
How is the sum of two group homomorphisms h and k from G to H defined when G and H are abelian groups?,"The sum (h + k) is defined pointwise: (h + k)(u) = h(u) + k(u) for all u ∈ G. The commutativity of H is essential to ensure that h + k is itself a group homomorphism. Under this operation, Hom(G, H) forms an abelian group.",Group Homomorphism
"What algebraic structure does the set End(G) of all endomorphisms of an abelian group G form, and why?","The set End(G) forms a ring, called the endomorphism ring of G. This is because composition of endomorphisms is associative and distributes over the addition of homomorphisms: (h + k) ∘ f = (h ∘ f) + (k ∘ f) and g ∘ (h + k) = (g ∘ h) + (g ∘ k).",Group Homomorphism
"What is the central concept of abstract algebra, and how do other algebraic structures relate to it?","The concept of a group is central to abstract algebra. Other well-known algebraic structures such as rings, fields, and vector spaces can all be seen as groups endowed with additional operations and axioms. This means groups form the foundational structure upon which these other algebraic systems are built.",Group Theory
